"Freq [GHz]","dB(S(1,1)) []"
3.4125,-18.4191491251759
3.425,-17.5717074669337
3.4375,-16.8001930083403
3.45,-16.0977234325305
3.4625,-15.4569513686043
3.475,-14.8709430151833
3.4875,-14.333480239494
3.5,-13.8391139384889
3.5125,-13.3831168169949
3.525,-12.9614017293463
3.5375,-12.570434306723
3.55,-12.2071515301097
3.5625,-11.8688902049873
3.575,-11.5533259197372
3.5875,-11.2584216960542
3.6,-10.9823850808044
3.6125,-10.7236323734161
3.625,-10.4807587915041
3.6375,-10.2525135401137
3.65,-10.0377789169841
3.6625,-9.8355527380984
3.675,-9.64493349832339
3.6875,-9.46510779028558
3.7,-9.29533959362037
3.7125,-9.13496111874508
3.725,-8.98336494763868
3.7375,-8.83999726092295
3.75,-8.7043519784863
3.7625,-8.57596567142951
3.775,-8.4544131277614
3.7875,-8.33930347447474
3.8,-8.23027677481102
3.8125,-8.12700103296732
3.825,-8.02916954935791
3.8375,-7.93649857858542
3.85,-7.84872524959765
3.8625,-7.76560571384355
3.875,-7.68691349208486
3.8875,-7.61243799504383
3.9,-7.54198319645429
3.9125,-7.4753664401907
3.925,-7.41241736561483
3.9375,-7.35297693746682
3.95,-7.2968965684035
3.9625,-7.24403732387905
3.975,-7.19426920031334
3.9875,-7.14747046872304
4,-7.10352707682874
4.0125,-7.06233210364589
4.025,-7.02378526113499
4.0375,-6.98779243823506
4.05,-6.95426528305185
4.0625,-6.92312081952507
4.075,-6.89428109524329
4.0875,-6.86767285748739
4.1,-6.84322725485761
4.1125,-6.82087956215991
4.125,-6.8005689264036
4.1375,-6.78223813208679
4.15,-6.76583338398464
4.1625,-6.75130410599878
4.175,-6.73860275460893
4.1875,-6.72768464571377
4.2,-6.71850779372156
4.2125,-6.71103276185281
4.225,-6.7052225227474
4.2375,-6.70104232844858
4.25,-6.6984595891007
4.2625,-6.69744375954814
4.275,-6.6979662332233
4.2875,-6.70000024272384
4.3,-6.70352076654497
4.3125,-6.70850444140331
4.325,-6.71492947975269
4.3375,-6.72277559200134
4.35,-6.73202391304574
4.3625,-6.74265693275353
4.375,-6.75465843002455
4.3875,-6.76801341009809
4.4,-6.7827080448205
4.4125,-6.79872961554245
4.425,-6.81606645838375
4.4375,-6.83470791160762
4.45,-6.85464426482198
4.4625,-6.87586670979416
4.475,-6.89836729260741
4.4875,-6.92213886696124
4.5,-6.94717504835307
4.5125,-6.97347016894716
4.525,-7.00101923290546
4.5375,-7.02981787194336
4.55,-7.05986230092308
4.5625,-7.09114927323323
4.575,-7.12367603574735
4.5875,-7.15744028315687
4.6,-7.19244011140438
4.6125,-7.22867397002471
4.625,-7.26614061314336
4.6375,-7.30483904885845
4.65,-7.34476848679748
4.6625,-7.38592828354345
4.675,-7.42831788567139
4.6875,-7.47193677011559
4.7,-7.51678438155788
4.7125,-7.56286006654106
4.725,-7.61016300395888
4.7375,-7.65869213161241
4.75,-7.70844606847534
4.7625,-7.75942303227939
4.775,-7.81162075207401
4.7875,-7.86503637533097
4.8,-7.91966636921327
4.8125,-7.97550641555722
4.825,-8.0325512991561
4.8375,-8.09079478889419
4.85,-8.15022951125758
4.8625,-8.21084681579494
